Event.Id,Event.Date,Year,Make,Model,Aircraft.Category,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Injury.Severity,Severity.Level,Outcome
20001212X22492,1990-01-28,1990,Taylorcraft,BC12D,Airplane,No,1.0,Unknown,Personal,0.0,0.0,0.0,2.0,VMC,Takeoff,Non-Fatal,None,Non-Fatal
20001212X22480,1990-01-29,1990,Cessna,208B,Airplane,No,1.0,Turbo Prop,Unknown,2.0,0.0,0.0,0.0,IMC,Takeoff,Fatal,High,Fatal
20001212X22619,1990-02-01,1990,Piper,PA-28-181,Airplane,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Maneuvering,Fatal,High,Fatal
20001212X22649,1990-03-16,1990,Cessna,170B,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Takeoff,Non-Fatal,None,Non-Fatal
20001212X22846,1990-04-09,1990,Cessna,172,Airplane,No,1.0,Reciprocating,Unknown,2.0,0.0,0.0,7.0,VMC,Cruise,Fatal,High,Fatal
20001212X22846,1990-04-09,1990,Embraer,EMB-120,Airplane,No,2.0,Turbo Prop,Unknown,2.0,0.0,0.0,7.0,VMC,Cruise,Fatal,High,Fatal
20001212X22966,1990-04-16,1990,Embraer,EMB-110,Airplane,No,2.0,Turbo Prop,Unknown,0.0,0.0,0.0,8.0,VMC,Taxi,Non-Fatal,None,Non-Fatal
20001212X22992,1990-04-17,1990,Cessna,150,Airplane,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Approach,Non-Fatal,None,Non-Fatal
20001212X22890,1990-04-30,1990,Beech,C99 AIRLINER,Airplane,No,2.0,Unknown,Unknown,1.0,3.0,0.0,0.0,UNKNOWN,,Fatal,High,Fatal
20001212X23574,1990-07-05,1990,Piper,PA-28-180,Airplane,No,1.0,Reciprocating,Business,1.0,1.0,0.0,0.0,VMC,Descent,Fatal,High,Fatal
20001212X23773,1990-07-12,1990,Piper,PA-28-140,Airplane,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Descent,Non-Fatal,Low,Non-Fatal
20001212X23667,1990-07-27,1990,Mcdonnell Douglas,DC-10-30,Airplane,No,0.0,Unknown,Unknown,0.0,1.0,3.0,3.0,UNKNOWN,,Non-Fatal,Medium,Non-Fatal
20001212X24345,1990-09-14,1990,Cessna,152,Airplane,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,Takeoff,Fatal,High,Fatal
20001212X24349,1990-09-23,1990,Piper,PA-24-260,Airplane,No,1.0,Reciprocating,Personal,4.0,0.0,0.0,0.0,VMC,Takeoff,Fatal,High,Fatal
20001212X24393,1990-10-06,1990,Cessna,185B,Airplane,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Landing,Non-Fatal,None,Non-Fatal
20001212X24604,1990-11-07,1990,Piper,PA-23-250,Airplane,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,IMC,Climb,Non-Fatal,None,Non-Fatal
20001212X24613,1990-11-23,1990,Beech,B55,Airplane,No,2.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Maneuvering,Fatal,High,Fatal
20001212X24824,1990-12-15,1990,Beech,D50C,Airplane,No,2.0,Reciprocating,Skydiving,1.0,0.0,1.0,4.0,VMC,Cruise,Fatal,High,Fatal
20001212X24816,1990-12-31,1990,Cessna,182B,Airplane,No,1.0,Reciprocating,Skydiving,2.0,1.0,1.0,0.0,VMC,Takeoff,Fatal,High,Fatal
20001212X16387,1991-01-25,1991,Piper,PA-34,Airplane,No,0.0,Unknown,Public Aircraft,0.0,0.0,0.0,1.0,UNKNOWN,Landing,Non-Fatal,None,Non-Fatal
20001212X16418,1991-02-03,1991,Cessna,182,Airplane,No,1.0,Reciprocating,Skydiving,7.0,0.0,0.0,0.0,VMC,Climb,Fatal,High,Fatal
20001212X16418,1991-02-03,1991,Piper,PA-28-140,Airplane,No,1.0,Reciprocating,Instructional,7.0,0.0,0.0,0.0,VMC,Approach,Fatal,High,Fatal
20001212X16415,1991-02-24,1991,Cessna,172N,Airplane,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Maneuvering,Fatal,High,Fatal
20001212X16539,1991-03-18,1991,Piper,PA-28-201T,Airplane,No,1.0,Reciprocating,Business,2.0,0.0,0.0,0.0,IMC,Cruise,Fatal,High,Fatal
20001212X17360,1991-06-06,1991,Boeing,727-214,Airplane,No,3.0,Turbo Fan,Unknown,0.0,0.0,0.0,156.0,VMC,Takeoff,Incident,None,Non-Fatal
20001212X17597,1991-07-11,1991,Cessna,182,Airplane,No,1.0,Reciprocating,Skydiving,1.0,0.0,0.0,4.0,VMC,Cruise,Fatal,High,Fatal
